Descr.breve:;;4;
Descr.lunga:;;M.Bianca-Roncaf.-Canova-Gardolo-Spini;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0004013132023091120240611;0004009002023091120240611;0004008862023091120240611;0004009012023091120240611;0004008872023091120240611;0004009022023091120240611;0004008882023091120240611;0004009032023091120240611;0004008892023091120240611;0004009042023091120240611;0004008902023091120240611;0004009052023091120240611;0004008912023091120240611;0004009062023091120240611;0004008922023091120240611;0004013172023091120240611;0004013142023091120240611;
smartplanner route_id;;04R;04R;04R;04R;04R;04R;04R;04R;04R;04R;04R;04R;04R;04R;04R;04R;04R;
service_id;;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;
stops;stop_id;0004013132023091120240611;0004009002023091120240611;0004008862023091120240611;0004009012023091120240611;0004008872023091120240611;0004009022023091120240611;0004008882023091120240611;0004009032023091120240611;0004008892023091120240611;0004009042023091120240611;0004008902023091120240611;0004009052023091120240611;0004008912023091120240611;0004009062023091120240611;0004008922023091120240611;0004013172023091120240611;0004013142023091120240611;
Bettini "Madonna Bianca";92;06:40;07:40;08:40;09:40;10:40;11:40;12:40;13:40;14:40;15:40;16:40;17:40;18:40;19:40;20:40;21:40;22:40;
*Bettini "Nido Mad. Bianca";282;06:41;07:41;08:41;09:41;10:41;11:41;12:41;13:41;14:41;15:41;16:41;17:41;18:41;19:41;20:41;21:41;22:41;
Menguzzato Al Casteller;385;06:41;07:41;08:41;09:41;10:41;11:41;12:41;13:41;14:41;15:41;16:41;17:41;18:41;19:41;20:41;21:41;22:41;
Menguzzato "Centro Civico";384;06:42;07:42;08:42;09:42;10:42;11:42;12:42;13:42;14:42;15:42;16:42;17:42;18:42;19:42;20:42;21:42;22:42;
Degasperi "Palazzo Stella";317;06:43;07:43;08:43;09:43;10:43;11:43;12:43;13:43;14:43;15:43;16:43;17:43;18:43;19:43;20:43;21:43;22:43;
Degasperi "Big Center";319;06:44;07:44;08:44;09:44;10:44;11:44;12:44;13:44;14:44;15:44;16:44;17:44;18:44;19:44;20:44;21:44;22:44;
Degasperi La Clarina;321;06:45;07:45;08:45;09:45;10:45;11:45;12:45;13:45;14:45;15:45;16:45;17:45;18:45;19:45;20:45;21:45;22:45;
Degasperi Anna Frank;315;06:46;07:46;08:46;09:46;10:46;11:46;12:46;13:46;14:46;15:46;16:46;17:46;18:46;19:46;20:46;21:46;22:46;
S.Pio X Benevoli;415;06:48;07:48;08:48;09:48;10:48;11:48;12:48;13:48;14:48;15:48;16:48;17:48;18:48;19:48;20:48;21:48;22:48;
S.Pio X Matteotti;412;06:49;07:49;08:49;09:49;10:49;11:49;12:49;13:49;14:49;15:49;16:49;17:49;18:49;19:49;20:49;21:49;22:49;
Bezzi Filzi;283;06:51;07:51;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;21:51;22:51;
Giusti "Arcivescovile";349;06:52;07:52;08:52;09:52;10:52;11:52;12:52;13:52;14:52;15:52;16:52;17:52;18:52;19:52;20:52;21:52;22:52;
Rosmini "Cimitero" / Muse;405;06:53;07:53;08:53;09:53;10:53;11:53;12:53;13:53;14:53;15:53;16:53;17:53;18:53;19:53;20:53;21:53;22:53;
Rosmini S.Maria Maggiore;406;06:55;07:55;08:55;09:55;10:55;11:55;12:55;13:55;14:55;15:55;16:55;17:55;18:55;19:55;20:55;21:55;22:55;
Piazza Dante "Pal. Regione";202;06:58;07:58;08:58;09:58;10:58;11:58;12:58;13:58;14:58;15:58;16:58;17:58;18:58;19:58;20:58;21:58;22:58;
Piazza Centa;2957;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;
F.Lli Fontana Gen. Cantore;333;07:01;08:01;09:01;10:01;11:01;12:01;13:01;14:01;15:01;16:01;17:01;18:01;19:01;20:01;21:01;22:01;23:01;
Degli Alpini Oberziner;37;07:02;08:02;09:02;10:02;11:02;12:02;13:02;14:02;15:02;16:02;17:02;18:02;19:02;20:02;21:02;22:02;23:02;
*Maccani Abondi;365;07:03;08:03;09:03;10:03;11:03;12:03;13:03;14:03;15:03;16:03;17:03;18:03;19:03;20:03;21:03;22:03;23:03;
Maccani "Rotatoria";370;07:03;08:03;09:03;10:03;11:03;12:03;13:03;14:03;15:03;16:03;17:03;18:03;19:03;20:03;21:03;22:03;23:03;
*Maccani Campotrentino;363;07:04;08:04;09:04;10:04;11:04;12:04;13:04;14:04;15:04;16:04;17:04;18:04;19:04;20:04;21:04;22:04;23:04;
*Maccani "Ex Sloi";371;07:05;08:05;09:05;10:05;11:05;12:05;13:05;14:05;15:05;16:05;17:05;18:05;19:05;20:05;21:05;22:05;23:05;
Maccani "Polizia Locale";368;07:06;08:06;09:06;10:06;11:06;12:06;13:06;14:06;15:06;16:06;17:06;18:06;19:06;20:06;21:06;22:06;23:06;
Maccani Commercio;361;07:06;08:06;09:06;10:06;11:06;12:06;13:06;14:06;15:06;16:06;17:06;18:06;19:06;20:06;21:06;22:06;23:06;
Caneppele Goio;304;07:07;08:07;09:07;10:07;11:07;12:07;13:07;14:07;15:07;16:07;17:07;18:07;19:07;20:07;21:07;22:07;23:07;
*Roncafort Bettine;303;07:08;08:08;09:08;10:08;11:08;12:08;13:08;14:08;15:08;16:08;17:08;18:08;19:08;20:08;21:08;22:08;23:08;
Roncafort "Asilo";2422;07:09;08:09;09:09;10:09;11:09;12:09;13:09;14:09;15:09;16:09;17:09;18:09;19:09;20:09;21:09;22:09;23:09;
*Canova Aichner;56;07:11;08:11;09:11;10:11;11:11;12:11;13:11;14:11;15:11;16:11;17:11;18:11;19:11;20:11;21:11;22:11;23:11;
*Canova Via Della Canova;57;07:11;08:11;09:11;10:11;11:11;12:11;13:11;14:11;15:11;16:11;17:11;18:11;19:11;20:11;21:11;22:11;23:11;
Canova Paludi;12;07:12;08:12;09:12;10:12;11:12;12:12;13:12;14:12;15:12;16:12;17:12;18:12;19:12;20:12;21:12;22:12;23:12;
*Gardolo "Materna Paludi";13;07:13;08:13;09:13;10:13;11:13;12:13;13:13;14:13;15:13;16:13;17:13;18:13;19:13;20:13;21:13;22:13;23:13;
Gardolo Soprasasso;429;07:14;08:14;09:14;10:14;11:14;12:14;13:14;14:14;15:14;16:14;17:14;18:14;19:14;20:14;21:14;22:14;23:14;
Gardolo P.Le Neufahrn Sud;52;07:15;08:15;09:15;10:15;11:15;12:15;13:15;14:15;15:15;16:15;17:15;18:15;19:15;20:15;21:15;22:15;23:15;
Gardolo Piazza;54;07:16;08:16;09:16;10:16;11:16;12:16;13:16;14:16;15:16;16:16;17:16;18:16;19:16;20:16;21:16;22:16;23:16;
*Gardolo S.Anna;50;07:17;08:17;09:17;10:17;11:17;12:17;13:17;14:17;15:17;16:17;17:17;18:17;19:17;20:17;21:17;22:17;23:17;
Gardolo S.Anna Carpenedi;62;07:18;08:18;09:18;10:18;11:18;12:18;13:18;14:18;15:18;16:18;17:18;18:18;19:18;20:18;21:18;22:18;23:18;
Spini "Zona Ind.Le Ftm";494;07:20;08:20;09:20;10:20;11:20;12:20;13:20;14:20;15:20;16:20;17:20;18:20;19:20;20:20;21:20;22:20;23:20;
*Spini "Officine";492;07:21;08:21;09:21;10:21;11:21;12:21;13:21;14:21;15:21;16:21;17:21;18:21;19:21;20:21;21:21;22:21;23:21;
Spini Linz;239;07:22;08:22;09:22;10:22;11:22;12:22;13:22;14:22;15:22;16:22;17:22;18:22;19:22;20:22;21:22;22:22;23:22;
*Spini Klagenfurt;496;07:23;08:23;09:23;10:23;11:23;12:23;13:23;14:23;15:23;16:23;17:23;18:23;19:23;20:23;21:23;22:23;23:23;
*Spini Monaco;241;07:23;08:23;09:23;10:23;11:23;12:23;13:23;14:23;15:23;16:23;17:23;18:23;19:23;20:23;21:23;22:23;23:23;
*Spini Loghét;2665;07:24;08:24;09:24;10:24;11:24;12:24;13:24;14:24;15:24;16:24;17:24;18:24;19:24;20:24;21:24;22:24;23:24;
Spini di Gardolo;238;07:24;08:24;09:24;10:24;11:24;12:24;13:24;14:24;15:24;16:24;17:24;18:24;19:24;20:24;21:24;22:24;23:24;
;;;;;;;;;;;;;;;;;;
