Descr.breve:;;G;
Descr.lunga:;;Gardolo - Gardolo di Mezzo e Spini;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0003998732023091120240611;0003990572023091120240611;0003990532023091120240611;0003993442023091120240611;0004007172023091120240611;0003994672023091120240611;0003990632023091120240611;0003994682023091120240611;0004007922023091120240611;0003993432023091120240611;0003991492023091120240611;0003990552023091120240611;0004007582023091120240611;0003990542023091120240611;0003990562023091120240611;0004007592023091120240611;0003994692023091120240611;0004007602023091120240611;
smartplanner route_id;;GA;GR;GA;GA;GA;GA;GA;GA;GA;GA;GA;GA;GA;GA;GA;GA;GA;GA;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;0003998732023091120240611;0003990572023091120240611;0003990532023091120240611;0003993442023091120240611;0004007172023091120240611;0003994672023091120240611;0003990632023091120240611;0003994682023091120240611;0004007922023091120240611;0003993432023091120240611;0003991492023091120240611;0003990552023091120240611;0004007582023091120240611;0003990542023091120240611;0003990562023091120240611;0004007592023091120240611;0003994692023091120240611;0004007602023091120240611;
Gardolo Soprasasso;429;;;;;;10:50;;;;;;;;;;;;;
Gardolo P.Le Neufahrn Sud;52;06:41;;08:51;09:51;10:00;10:51;;13:08;13:50;14:51;;16:18;16:51;17:18;17:51;18:18;18:51;;
Gardolo Piazza;54;06:42;;08:52;09:52;10:01;10:52;11:30;13:09;13:51;14:52;15:52;16:19;16:52;17:19;17:52;18:19;18:52;19:52;
Gardolo S.Anna;50;06:43;;08:53;09:53;10:02;10:53;11:31;13:10;13:52;14:53;15:53;16:20;16:53;17:20;17:53;18:20;18:53;19:53;
Gardolo S.Anna Carpenedi;62;06:44;;08:54;09:54;10:03;10:54;11:32;13:11;13:53;14:54;15:54;16:21;16:54;17:21;17:54;18:21;18:54;19:54;
Gardolo Castel di Gardolo;2457;06:46;;;;10:05;;11:34;13:13;13:55;;;16:23;;17:23;;18:23;;;
Gard.D.Mezzo Maso Garbini;2764;06:52;08:15;;;10:11;;11:40;13:19;14:01;;;16:29;;17:29;;18:29;;;
Gard.D.Mezzo Dos D.La Luna;2763;06:53;08:16;;;10:12;;11:41;13:20;14:02;;;16:30;;17:30;;18:30;;;
*Gardolo P.Le Neufahrn Nord;53;;08:27;;;;;;;;;;;;;;;;;
Ghiaie "Zona Ind.Le Ftm";2446;;;08:56;;;10:56;;;;;;;;;;;;;
Ghiaie Salisburgo;2447;;;08:57;;;10:57;;;;;;;;;;;;;
Ghiaie "Sc. Materna";2448;;;08:59;;;10:59;;;;;;;;;;;;;
Spini Praga;2449;;;09:00;;;11:00;;;;;;;;;;;;;
Spini "Zona Ind.Le Ftm";494;;;;09:56;;;;;;14:56;15:56;;16:56;;17:56;;18:56;19:56;
Spini "Officine";492;;;;09:57;;;;;;14:57;15:57;;16:57;;17:57;;18:57;19:57;
Spini Linz;239;;;;09:58;;;;;;14:58;15:58;;16:58;;17:58;;18:58;19:58;
Spini Klagenfurt;496;;;;09:59;;;;;;14:59;15:59;;16:59;;17:59;;18:59;19:59;
Spini Monaco;241;;;;09:59;;;;;;14:59;15:59;;16:59;;17:59;;18:59;19:59;
Spini Loghét;2665;;;;10:00;;;;;;15:00;16:00;;17:00;;18:00;;19:00;20:00;
Spini di Gardolo;238;;;09:01;10:00;;11:01;;;;15:00;16:00;;17:00;;18:00;;19:00;20:00;
;;;;;;;;;;;;;;;;;;;
